id,year,type,name,han,location_id,x,y,factions,description
e01,-400000,lore,Long Vũ Sơ Chiến,龍羽初戰,l02,2500,1500,f01|f02,"Long Tộc và Vũ Tộc tranh chấp đỉnh núi lần đầu tiên, mở đầu thù truyền kiếp."
e02,5000,founded,Thiên Long Đại Gia Lập,天龍大家立,l02,2500,1500,f01,"Long Tộc Thiên Long Chủng thống nhất các gia đình rồng phương bắc."
e03,40000,battle,Trận Hỗn Độn Nguyên Dã,混沌原野之戰,l11,6200,3800,f01|f04,"Nhân Tộc vương triều đánh bại Long Tộc tại đồng bằng trung tâm. Phế Khư Cổ Thành bị hủy."
e04,40000,founded,Nhân Tộc Vương Triều Kiến Lập,人族王朝建立,l01,5000,5000,f04,"Sau chiến thắng, Nhân Tộc lập vương triều tại Cố Nguyên Thành."
e05,50000,battle,Chiến Dịch Hắc Vực,黑域之役,l03,7800,7500,f04|f05,"Nhân Tộc và Yêu Tộc giao tranh dữ dội tại vùng đất tối."
e06,60000,lore,Cự Nhân Bị Trưng Binh,巨人被徵兵,l09,2000,4500,f04|f06,"Nhân Tộc lôi kéo Cự Tộc làm lính đánh thuê, Cự Nhân bắt đầu bị lợi dụng."
e07,80000,founded,Bạch Ngọc Kinh Kiến Thành,白玉京建城,l19,3000,3500,f01,"Long Tộc hồi sinh dưới thời Linh Nguyên Kỷ, xây dựng kinh đô mới."
e08,100000,battle,Đại Chiến Vạn Tộc,萬族大戰,l01,5000,5000,f01|f02|f04|f05|f06|f09,"Nhiều tộc đồng thời giao chiến. Trận chiến kéo dài 1000 năm tái định hình bản đồ."
e09,130000,lore,Âm Phủ Quan Phong Ấn,陰府關封印,l18,4200,8500,f04|f05|f08,"Liên minh vạn tộc hợp sức phong ấn cổng địa ngục sau khi quỷ binh tràn ra."
e10,140000,lore,Trùng Tộc Đại Nổi Dậy,蟲族大起義,l08,1800,7200,f03|f04,"Trùng Tộc bị khinh thường quá lâu, nổi dậy tràn ngập rừng sâu, đe dọa trung nguyên."
e11,150000,lore,Thạch Tộc Lập Thành,石族立城,l14,8200,3500,f10,"Thạch Tộc tập trung thành bộ lạc, xây thành trì đầu tiên trong lòng núi."
e12,170000,battle,Chiến Loạn Kỷ Đại Chiến,戰亂紀大戰,l19,3000,3500,f01|f02|f04|f05,"Trận chiến tàn khốc nhất lịch sử. Bạch Ngọc Kinh bị thiêu rụi, Long-Vũ tổng quyết chiến."
e13,175000,battle,Nhân Tộc Khai Thác Thạch Giới,人族開採石界,l27,7500,4000,f04|f10,"Nhân Tộc xâm lấn lãnh thổ Thạch Tộc khai thác khoáng sản, Thạch Tộc phản kháng."
e14,200000,lore,Hiện Đại Kỷ Bắt Đầu,現代紀開始,l01,5000,5000,,"Kỷ nguyên mới của hòa bình. Mười tộc dần hàn gắn vết thương, liên minh mong manh hình thành."
