id,name,han,faction_id,rank,population,habitat,trait,description
sr01,Thiên Long,天龍,f01,1,ít,đỉnh núi,thuần huyết,"Rồng thuần huyết mạnh nhất, sinh ra đã có Long Nguyên tối thượng. Chỉ sống trên đỉnh núi cao nhất, hóa nhân hình khi đạt cảnh giới cao."
sr02,Giao Long,蛟龍,f01,3,trung bình,sông hồ,thủy tính,"Long xà sống dưới nước, chưa hóa rồng hoàn chỉnh. Có sừng nhưng chưa có cánh, cần vượt kiếp để thăng cấp thành chân long."
sr03,Ứng Long,應龍,f01,2,ít,không trung,phi hành,"Rồng có cánh, duy nhất trong Long Tộc bay được bẩm sinh. Thiên về chiến đấu trên không, thường xung đột với Vũ Tộc."
sr04,Địa Long,地龍,f01,4,trung bình,hang động,địa mạch,"Rồng đất sống trong lòng núi, kiểm soát địa mạch. Không bay được nhưng cực kỳ bền bỉ, thân hình dài như rắn."
sr05,Ngư Long,魚龍,f01,5,nhiều,biển hồ,tiến hóa,"Cá chép hóa rồng — yếu nhất nhưng đông nhất. Phải vượt Long Môn kiếp để tiến hóa, đa số thất bại cả đời."
sr06,Long Nhân,龍人,f01,3,ít,khắp nơi,bán long,"Nửa rồng nửa người — con lai Long Tộc và Nhân Tộc. Có vảy rồng và sức mạnh Long Nguyên nhưng không thể hóa rồng hoàn chỉnh. Bị cả hai tộc kỳ thị."
sr07,Phượng Hoàng,鳳凰,f02,1,hiếm,không trung,niết bàn,"Thuần huyết Phượng Hoàng, có thể niết bàn tái sinh nhưng phải trả giá bằng tu vi hoặc ký ức. Lửa phượng thiêu đốt vạn vật."
sr08,Kim Bằng,金鵬,f02,2,ít,núi cao,thể xác,"Đại bàng vàng khổng lồ, sải cánh che trời. Sức mạnh thể xác kinh hoàng, một cú vỗ cánh tạo cuồng phong."
sr09,Thanh Loan,青鸞,f02,3,trung bình,rừng,chữa lành,"Chim loan xanh biếc, tiếng hót chữa lành vết thương. Hiền hòa nhất Vũ Tộc, thường đóng vai hòa giải."
sr10,Huyền Ưng,玄鷹,f02,4,trung bình,khắp nơi,trinh sát,"Ưng đen lặng lẽ, trinh sát và ám sát. Tốc độ cực nhanh, tàng hình trong bóng tối, tai mắt của Vũ Tộc."
sr11,Vũ Nhân,羽人,f02,3,ít,khắp nơi,bán điểu,"Nửa người nửa chim — có cánh lông và xương rỗng nhưng hình dạng gần người. Có thể sống giữa Nhân Tộc mà không bị phát hiện nếu giấu cánh."
sr12,Thiên Tằm,天蠶,f03,1,hiếm,rừng sâu,tơ thần,"Tằm trời cổ đại, tạo ra tơ thần — vật liệu quý hiếm nhất đại lục. Sống độc lập, mỗi con chiếm một vùng rừng. Ít nhưng mỗi con đều là cường giả."
sr13,Hoàng Phong,皇蜂,f03,2,nhiều,rừng đầm,tổ đàn,"Ong chúa và đàn ong chiến binh — quân đội đông nhất Trùng Tộc. Tổ chức xã hội chặt chẽ, ong chúa kiểm soát hàng vạn ong lính bằng phấn hoa linh."
sr14,Độc Yết,毒蝎,f03,3,trung bình,sa mạc đầm,kịch độc,"Bọ cạp độc khổng lồ, thợ săn đơn độc. Nọc độc có thể hạ gục cường giả chỉ bằng một nhát chích. Bán độc dược cho các tộc khác."
sr15,Mê Điệp,迷蝶,f03,4,ít,rừng hoa,ảo thuật,"Bướm ảo với cánh rực rỡ, phấn cánh gây mê hoặc và ảo giác. Đẹp nhưng cực kỳ nguy hiểm — nhiều tu sĩ lạc trong ảo cảnh vĩnh viễn."
sr16,Trung Nguyên Nhân,中原人,f04,1,nhiều,trung nguyên,đa năng,"Dân trung nguyên — nòng cốt vương triều, đông nhất. Đa năng, có thể tu luyện mọi pháp môn. Kiến lập Cố Nguyên Thành."
sr17,Bắc Cương Nhân,北疆人,f04,2,trung bình,cực bắc,thể tu,"Dân biên cương phía bắc, sống trong băng giá. Thể xác cường tráng, thiên về thể tu. Lính thú đóng quân bảo vệ biên giới."
sr18,Nam Hải Nhân,南海人,f04,3,trung bình,ven biển nam,thương mại,"Dân ven biển phía nam, giao thương với Hải Tộc và các tộc khác. Giỏi hàng hải, cởi mở hơn dân trung nguyên."
sr19,Hồ Tộc,狐族,f05,1,trung bình,rừng núi,biến hình,"Hồ ly tinh — biến hình và mê hoặc. Mưu trí nhất Yêu Tộc, thao túng chính trị. Cửu Vĩ Hồ Vương là đỉnh cao của nhánh này."
sr20,Mãng Xà,蟒蛇,f05,2,ít,rừng sâu hang,cổ xưa,"Đại xà cổ đại, tu luyện lâu đời nhất trong Yêu Tộc. Nuốt linh dược để tiến hóa, thân dài vạn trượng khi đạt đại thành."
sr21,Hổ Vương,虎王,f05,3,ít,núi rừng,bá khí,"Hổ chúa đơn độc, mỗi con chiếm một vùng lãnh thổ. Sức mạnh thể xác khủng khiếp, bá khí áp chế vạn thú."
sr22,Lang Linh,狼靈,f05,4,nhiều,thảo nguyên,bầy đàn,"Sói linh sống thành bầy, phối hợp chiến đấu cực kỳ tinh vi. Đông nhất Yêu Tộc, trận pháp sói bao vây có thể hạ mục tiêu mạnh hơn nhiều bậc."
sr23,Hùng Bá,熊霸,f05,5,ít,rừng núi,phòng thủ,"Gấu bá — phòng thủ cực mạnh, da dày như giáp sắt. Chậm chạp nhưng gần như bất khả chiến bại khi phòng ngự."
sr24,Sơn Cự,山巨,f06,1,trung bình,núi đá,rèn đúc,"Cự nhân núi, da đá cứng ngắc. Giỏi rèn đúc và điêu khắc — vũ khí do Sơn Cự rèn được mọi tộc khao khát."
sr25,Lâm Cự,林巨,f06,2,ít,rừng già,tự nhiên,"Cự nhân rừng, hiền lành nhất. Gần gũi cây cối và động vật, đôi khi bị nhầm với cây cổ thụ khi đứng yên."
sr26,Băng Cự,冰巨,f06,3,ít,cực bắc,chịu lạnh,"Cự nhân băng sống vùng cực bắc. Hơi thở đóng băng, thân xác chứa nước đá vĩnh cửu. Ít giao tiếp với thế giới bên ngoài."
sr27,Ẩn Vi,隱微,f07,1,trung bình,khắp nơi,tàng hình,"Chuyên tàng hình — gián điệp bẩm sinh. Có thể vô hình hoàn toàn, sống giữa các tộc lớn mà không ai biết."
sr28,Huyễn Vi,幻微,f07,2,ít,rừng cốc,ảo ảnh,"Chuyên ảo thuật — tạo ảo ảnh lớn gấp trăm lần thân thể. Mê Hồn Trận là kiệt tác của Huyễn Vi."
sr29,Mộc Linh,木靈,f08,1,nhiều,rừng cổ,mộc nguyên tố,"Linh cây — mạnh nhất trong rừng, kiểm soát thực vật. Mộc Linh Nữ Vương cai trị nhánh này. Sống lâu nhất trong Tinh Linh."
sr30,Hỏa Linh,火靈,f08,2,ít,núi lửa,hỏa nguyên tố,"Linh lửa — sống gần núi lửa và mạch địa nhiệt. Nóng nảy và hiếu chiến nhất, ngọn lửa không bao giờ tắt."
sr31,Thủy Linh,水靈,f08,3,trung bình,sông hồ,thủy nguyên tố,"Linh nước — sống ven sông hồ, mềm mại và thích nghi cao. Gần gũi với Hải Tộc, đôi khi làm cầu nối giữa rừng và biển."
sr32,Thổ Linh,土靈,f08,4,trung bình,lòng đất,thổ nguyên tố,"Linh đất — ẩn trong lòng đất, kiên nhẫn và bền bỉ. Giỏi phòng thủ và xây dựng, thường bị nhầm với Thạch Tộc."
sr33,Phong Linh,風靈,f08,5,ít,không trung,phong nguyên tố,"Linh gió — phiêu bạt tự do, không cố định nơi ở. Nhanh nhất trong Tinh Linh, khó bắt và khó giết."
sr34,Long Cung Tộc,龍宮族,f09,1,ít,đáy biển,hoàng gia,"Hoàng gia Hải Tộc, ngự trị Hải Long Cung dưới đáy đại dương. Hải Hoàng và Ngọc Hải Công Chúa thuộc nhánh này."
sr35,Ngư Nhân,魚人,f09,3,nhiều,biển ven bờ,giao thương,"Người cá — đông nhất Hải Tộc, sống ven bờ và giao thương với các tộc trên cạn. Có chân và vây, lên bờ được."
sr36,Giáp Tộc,甲族,f09,2,trung bình,đáy biển,phòng thủ,"Giáp xác — cua, rùa biển, tôm khổng lồ. Giáp cứng như thành trì, tường thành sống của Hải Tộc."
sr37,Mặc Tộc,墨族,f09,4,ít,biển sâu,gián điệp,"Mực và bạch tuộc — thông minh nhất Hải Tộc. Phun mực tạo bóng tối, nhiều xúc tu thao tác phức tạp. Gián điệp biển sâu."
sr38,Nhân Ngư,人魚,f09,3,ít,biển ven bờ,bán ngư,"Nửa người nửa cá — đẹp nhất Hải Tộc, giọng hát mê hoặc. Có thể sống trên cạn một thời gian nhưng yếu đi dần. Thường bị Nhân Tộc săn bắt."
sr39,Kim Cương Tộc,金剛族,f10,1,hiếm,mỏ sâu,kim cương,"Kim cương sống — cứng nhất, hiếm nhất, quý tộc Thạch Tộc. Gần như bất hoại, chỉ kim cương mới cắt được kim cương."
sr40,Ngọc Tộc,玉族,f10,2,ít,mạch ngọc,linh tính,"Ngọc thạch — linh tính cao nhất Thạch Tộc, giỏi tu luyện và cảm nhận linh khí. Thường đóng vai trưởng lão và cố vấn."
sr41,Thổ Thạch,土石,f10,3,nhiều,khắp nơi,lao động,"Đá thường — đông nhất, cấu thành phần lớn dân số. Bị khai thác nhiều nhất, chịu đựng giỏi, lao động chính của Thạch Tộc."
